iter	Passed	Remaining
415	2712	3807
416	2719	3801
417	2724	3793
418	2732	3788
419	2737	3780
420	2745	3775
421	2750	3767
422	2758	3762
423	2764	3755
424	2772	3750
425	2778	3743
426	2786	3738
427	2791	3730
428	2798	3725
429	2804	3717
430	2811	3712
431	2817	3704
432	2824	3698
433	2830	3690
434	2837	3685
435	2843	3677
436	2850	3671
437	2855	3664
438	2863	3659
439	2869	3651
440	2876	3646
441	2882	3638
442	2890	3633
443	2896	3626
444	2903	3620
445	2908	3613
446	2915	3607
447	2921	3599
448	2927	3593
449	2933	3584
450	2940	3579
451	2945	3571
452	2953	3566
453	2958	3557
454	2965	3551
455	2970	3544
456	2976	3537
457	2983	3530
458	2989	3524
459	2996	3517
460	3001	3509
461	3008	3503
462	3014	3496
463	3022	3491
464	3027	3483
465	3035	3478
466	3040	3470
467	3047	3464
468	3053	3457
469	3061	3452
470	3067	3445
471	3074	3439
472	3081	3433
473	3088	3427
474	3096	3422
475	3101	3414
476	3109	3409
477	3116	3403
478	3124	3398
479	3130	3391
480	3137	3385
481	3144	3379
482	3151	3373
483	3157	3365
484	3164	3360
485	3170	3352
486	3177	3347
487	3183	3340
488	3191	3334
489	3196	3327
490	3204	3321
491	3209	3314
492	3217	3308
493	3222	3300
494	3229	3295
495	3235	3287
496	3242	3281
497	3247	3273
498	3253	3266
499	3258	3258
500	3262	3249
501	3269	3243
502	3273	3234
503	3280	3227
504	3284	3219
505	3289	3211
506	3295	3204
507	3300	3196
508	3305	3188
509	3310	3180
510	3315	3172
511	3320	3165
512	3325	3156
513	3331	3149
514	3335	3141
515	3340	3132
516	3345	3125
517	3351	3118
518	3355	3109
519	3361	3103
520	3366	3095
521	3372	3088
522	3377	3080
523	3383	3073
524	3389	3067
525	3395	3059
526	3401	3053
527	3407	3045
528	3413	3039
529	3419	3032
530	3427	3026
531	3432	3019
532	3440	3014
533	3446	3007
534	3453	3001
535	3458	2994
536	3466	2988
537	3472	2981
538	3479	2976
539	3485	2968
540	3493	2963
541	3498	2956
542	3506	2951
543	3511	2943
544	3519	2938
545	3525	2931
546	3532	2925
547	3538	2918
548	3546	2913
549	3551	2905
550	3558	2899
551	3562	2891
552	3569	2884
553	3573	2877
554	3578	2868
555	3584	2862
556	3588	2854
557	3594	2846
558	3599	2839
559	3603	2831
560	3609	2824
561	3613	2816
562	3619	2809
563	3623	2801
564	3628	2793
565	3633	2786
566	3638	2778
567	3643	2770
568	3649	2764
569	3654	2756
570	3660	2750
571	3665	2742
572	3670	2735
573	3675	2728
574	3681	2720
575	3688	2714
576	3692	2707
577	3698	2700
578	3703	2692
579	3707	2685
580	3715	2679
581	3720	2671
582	3725	2664
583	3730	2657
584	3734	2649
585	3739	2642
586	3745	2634
587	3750	2627
588	3755	2620
589	3760	2613
590	3766	2606
591	3771	2599
592	3776	2591
593	3781	2584
594	3786	2577
595	3793	2571
596	3797	2563
597	3803	2556
598	3807	2549
599	3812	2541
600	3818	2535
601	3823	2527
602	3828	2520
603	3833	2513
604	3837	2505
605	3843	2499
606	3848	2491
607	3854	2484
608	3859	2477
609	3865	2471
610	3871	2464
611	3877	2458
612	3883	2451
613	3889	2444
614	3894	2438
615	3899	2431
616	3904	2423
617	3910	2416
618	3914	2409
619	3919	2402
620	3924	2395
621	3929	2387
622	3934	2381
623	3939	2373
624	3945	2367
625	3951	2360
626	3956	2353
627	3962	2347
628	3967	2340
629	3972	2333
630	3978	2326
631	3982	2319
632	3989	2313
633	3994	2305
634	3999	2299
635	4004	2291
636	4008	2284
637	4014	2277
638	4019	2270
639	4024	2263
640	4028	2256
641	4033	2249
642	4038	2242
643	4043	2234
644	4048	2228
645	4053	2221
646	4058	2214
647	4065	2208
648	4069	2201
649	4074	2193
650	4080	2187
651	4084	2180
652	4090	2173
653	4094	2166
654	4099	2159
655	4105	2152
656	4109	2145
657	4114	2138
658	4120	2132
659	4125	2125
660	4130	2118
661	4135	2111
662	4139	2104
663	4146	2097
664	4150	2090
665	4156	2084
666	4162	2077
667	4166	2070
668	4172	2064
669	4177	2057
670	4182	2050
671	4187	2044
672	4192	2037
673	4197	2030
674	4202	2023
675	4207	2016
676	4242	2024
677	4256	2021
678	4277	2022
679	4283	2015
680	4289	2009
681	4294	2002
682	4299	1995
683	4304	1988
684	4309	1981
685	4314	1974
686	4320	1968
687	4324	1961
688	4329	1954
689	4334	1947
690	4339	1940
691	4345	1934
692	4350	1927
693	4356	1920
694	4361	1914
695	4367	1907
696	4372	1900
697	4377	1893
698	4382	1887
699	4387	1880
700	4393	1873
701	4397	1866
702	4402	1859
703	4408	1853
704	4412	1846
705	4417	1839
706	4423	1833
707	4427	1826
708	4433	1819
709	4437	1812
710	4442	1805
711	4448	1799
712	4453	1792
713	4459	1786
714	4464	1779
715	4469	1772
716	4474	1766
717	4480	1759
718	4485	1753
719	4490	1746
720	4495	1739
721	4501	1733
722	4505	1726
723	4510	1719
724	4515	1712
725	4519	1705
726	4525	1699
727	4530	1692
728	4534	1685
729	4540	1679
730	4546	1672
731	4551	1666
732	4557	1660
733	4562	1653
734	4568	1646
735	4572	1640
736	4578	1633
737	4583	1627
738	4588	1620
739	4593	1613
740	4598	1607
741	4603	1600
742	4608	1593
743	4612	1587
744	4618	1580
745	4622	1573
746	4628	1567
747	4634	1561
748	4638	1554
749	4644	1548
750	4649	1541
751	4654	1535
752	4659	1528
753	4664	1521
754	4670	1515
755	4675	1509
756	4681	1502
757	4686	1496
758	4692	1489
759	4698	1483
760	4703	1477
761	4709	1471
762	4714	1464
763	4719	1457
764	4726	1451
765	4732	1445
766	4738	1439
767	4743	1432
768	4750	1426
769	4756	1420
770	4762	1414
771	4767	1408
772	4773	1401
773	4778	1395
774	4783	1388
775	4789	1382
776	4794	1375
777	4800	1369
778	4805	1363
779	4810	1356
780	4815	1350
781	4821	1344
782	4827	1338
783	4832	1331
784	4838	1325
785	4843	1318
786	4847	1311
787	4853	1305
788	4858	1299
789	4864	1293
790	4868	1286
791	4873	1279
792	4879	1273
793	4884	1267
794	4890	1261
795	4895	1254
796	4900	1248
797	4906	1241
798	4910	1235
799	4916	1229
800	4921	1222
801	4925	1216
802	4933	1210
803	4937	1203
804	4944	1197
805	4949	1191
806	4955	1185
807	4961	1179
808	4967	1172
809	4973	1166
810	4978	1160
811	4984	1154
812	4989	1147
813	4997	1141
814	5002	1135
815	5009	1129
816	5014	1123
817	5020	1116
818	5025	1110
819	5031	1104
820	5038	1098
821	5044	1092
822	5051	1086
823	5056	1080
824	5063	1073
825	5068	1067
826	5074	1061
827	5080	1055
828	5087	1049
829	5093	1043
830	5099	1037
831	5105	1030
832	5111	1024
833	5117	1018
834	5125	1012
835	5132	1006
836	5140	1001
837	5146	994
838	5154	989
839	5159	982
840	5167	976
841	5173	970
842	5180	964
843	5186	958
844	5193	952
845	5199	946
846	5206	940
847	5212	934
848	5219	928
849	5224	921
850	5230	915
851	5236	909
852	5243	903
853	5249	897
854	5255	891
855	5262	885
856	5267	879
857	5274	872
858	5279	866
859	5285	860
860	5290	854
861	5296	847
862	5300	841
863	5305	835
864	5310	828
865	5315	822
866	5320	816
867	5325	809
868	5330	803
869	5336	797
870	5341	791
871	5345	784
872	5351	778
873	5355	772
874	5361	765
875	5365	759
876	5370	753
877	5375	746
878	5380	740
879	5384	734
880	5390	728
881	5394	721
882	5400	715
883	5404	709
884	5409	702
885	5414	696
886	5419	690
887	5423	684
888	5428	677
889	5433	671
890	5437	665
891	5443	659
892	5449	652
893	5456	647
894	5462	640
895	5469	634
896	5475	628
897	5482	622
898	5488	616
899	5495	610
900	5501	604
901	5509	598
902	5514	592
903	5522	586
904	5528	580
905	5535	574
906	5541	568
907	5549	562
908	5555	556
909	5564	550
910	5571	544
911	5577	538
912	5586	532
913	5593	526
914	5601	520
915	5607	514
916	5615	508
917	5624	502
918	5630	496
919	5637	490
920	5644	484
921	5652	478
922	5661	472
923	5680	467
924	5690	461
925	5696	455
926	5704	449
927	5709	443
928	5715	436
929	5722	430
930	5729	424
931	5735	418
932	5741	412
933	5748	406
934	5754	400
935	5761	393
936	5766	387
937	5772	381
938	5777	375
939	5783	369
940	5788	362
941	5793	356
942	5799	350
943	5804	344
944	5810	338
945	5816	332
946	5822	325
947	5826	319
948	5831	313
949	5836	307
950	5841	300
951	5846	294
952	5852	288
953	5858	282
954	5864	276
955	5868	270
956	5875	263
957	5880	257
958	5884	251
959	5889	245
960	5894	239
961	5899	233
962	5904	226
963	5908	220
964	5914	214
965	5919	208
966	5924	202
967	5929	196
968	5933	189
969	5939	183
970	5944	177
971	5949	171
972	5954	165
973	5960	159
974	5966	152
975	5970	146
976	5977	140
977	5982	134
978	5988	128
979	5995	122
980	6001	116
981	6007	110
982	6013	104
983	6020	97
984	6026	91
985	6034	85
986	6040	79
987	6047	73
988	6053	67
989	6063	61
990	6070	55
991	6077	49
992	6083	42
993	6089	36
994	6097	30
995	6103	24
996	6111	18
997	6116	12
998	6123	6
999	6128	0
