iter	Logloss
193	0.2572486322
194	0.2569575871
195	0.2568081506
196	0.256362118
197	0.2561258466
198	0.2559336277
199	0.2557721348
200	0.2555145333
201	0.2551920218
202	0.2547512994
203	0.2543244255
204	0.2540652465
205	0.2538791483
206	0.2535374922
207	0.2532311272
208	0.2530873376
209	0.2528616631
210	0.2526281582
211	0.2524364285
212	0.2522468142
213	0.2521015534
214	0.2520060676
215	0.2517719746
216	0.2516365062
217	0.2514958631
218	0.2511921232
219	0.2508432366
220	0.2506113812
221	0.2504541523
222	0.2503158187
223	0.2502114904
224	0.2500131918
225	0.2497695049
226	0.2496505574
227	0.2494919644
228	0.2493323781
229	0.2492245828
230	0.2488660213
231	0.2486203607
232	0.2484541336
233	0.2481394588
234	0.2479845153
235	0.2478120548
236	0.2475938331
237	0.2473947249
238	0.2472147522
239	0.2470226953
240	0.2468346096
241	0.2466605809
242	0.246561753
243	0.2463702181
244	0.2460909701
245	0.2458314677
246	0.2456358111
247	0.2454594617
248	0.2453236147
249	0.2450831481
250	0.2449054444
251	0.2446585039
252	0.2444307082
253	0.2442143557
254	0.2437866858
255	0.2435217666
256	0.2433025494
257	0.2430295803
258	0.2429143307
259	0.2427562185
260	0.2425479503
261	0.2424421011
262	0.2422173328
263	0.2420494955
264	0.2419101007
265	0.2416663126
266	0.241415147
267	0.2412314735
268	0.2409349293
269	0.2406545379
270	0.2404701517
271	0.2403205969
272	0.2402060272
273	0.2400216324
274	0.239813291
275	0.2395349998
276	0.2393111329
277	0.2391020419
278	0.2388955176
279	0.2386682022
280	0.2384873905
281	0.2383506865
282	0.2380737691
283	0.2378800936
284	0.2376646748
285	0.237412247
286	0.2371985163
287	0.2369756175
288	0.2368446463
289	0.2366762347
290	0.2365171181
291	0.2363455082
292	0.2361743235
293	0.2361001558
294	0.2358086046
295	0.2357026287
296	0.2354706726
297	0.235263347
298	0.2351519242
299	0.2348892485
300	0.2346616714
301	0.2344229467
302	0.2342332945
303	0.2341065152
304	0.233992147
305	0.2338379371
306	0.2334715489
307	0.2333645066
308	0.2331566031
309	0.2329903391
310	0.2327347852
311	0.2326094473
312	0.2322670631
313	0.2320540846
314	0.231947216
315	0.231762904
316	0.2316065754
317	0.2313831226
318	0.2311741295
319	0.2310673212
320	0.2307643277
321	0.2306530156
322	0.2304746385
323	0.2302892825
324	0.230190617
325	0.230082188
326	0.2298801427
327	0.2296363612
328	0.229492501
329	0.2292163411
330	0.2290813544
331	0.2288600101
332	0.2284969119
333	0.2283352561
334	0.2280344199
335	0.2277812967
336	0.2276117686
337	0.2274767536
338	0.2271923662
339	0.2269122002
340	0.2264698093
341	0.2261434195
342	0.2259298898
343	0.2257075187
344	0.2253464523
345	0.2250450568
346	0.2247984809
347	0.2246100634
348	0.2244860888
349	0.2242696938
350	0.2241069835
351	0.2238459623
352	0.2237059595
353	0.2235766613
354	0.2233864246
355	0.2232675749
356	0.2231673808
357	0.2230563463
358	0.2228527837
359	0.2226337686
360	0.2224730998
361	0.2223075237
362	0.2222196443
363	0.2219998748
364	0.2217159082
365	0.2213657628
366	0.2212123358
367	0.2210548251
368	0.2209023957
369	0.2207364613
370	0.2205793957
371	0.2203371266
372	0.2202129307
373	0.2199192282
374	0.2196886974
375	0.2194668159
376	0.2193282638
377	0.2191294335
378	0.2189864252
379	0.2188048726
380	0.2186782462
381	0.2185739498
382	0.2183754345
383	0.2181729505
384	0.2179270905
385	0.2178148986
386	0.2176534725
387	0.2175133459
388	0.2173816522
389	0.2170854366
390	0.2169583904
391	0.2168452706
392	0.2166170769
393	0.216334026
394	0.2162302525
395	0.2161058563
396	0.2159364019
397	0.2157870015
398	0.2156583782
399	0.215535539
400	0.2153720967
401	0.2151911798
402	0.2150156653
403	0.2148019019
404	0.2146535182
405	0.2144348452
406	0.2142302216
407	0.2140707444
408	0.2139395848
409	0.2137485109
410	0.2136254492
411	0.2133782342
412	0.2132039783
413	0.2130401204
414	0.2129244039
415	0.2127610194
416	0.2126488402
417	0.2125255777
418	0.2123944063
419	0.2123030492
420	0.212102069
421	0.2118276454
422	0.2116919099
423	0.21156436
424	0.2110787257
425	0.2108597142
426	0.2106618509
427	0.2103953105
428	0.2102263425
429	0.2100203514
430	0.2099067228
431	0.20978176
432	0.2096434788
433	0.2095746431
434	0.2094925169
435	0.209368608
436	0.2092850229
437	0.2091460193
438	0.2089786304
439	0.2087765429
440	0.2086427427
441	0.2084317136
442	0.2082363758
443	0.2081230364
444	0.2079796872
445	0.2078517292
446	0.2077301927
447	0.2075987625
448	0.2074569365
449	0.2073241373
450	0.2072292429
451	0.2071099056
452	0.2069955726
453	0.2068967428
454	0.2067632223
455	0.2066408842
456	0.2065388028
457	0.2064564967
458	0.206329897
459	0.2061273953
460	0.2060113562
461	0.2058992179
462	0.2056146929
463	0.2053660426
464	0.2052541424
465	0.2051507662
466	0.2050691462
467	0.2049714096
468	0.2048663742
469	0.2047150291
470	0.2044791201
471	0.2043540544
472	0.2042293398
473	0.2041202969
474	0.2039304318
475	0.2038348617
476	0.2036494274
477	0.2034439227
478	0.2031726086
479	0.2030558525
480	0.2029343985
481	0.2028203847
482	0.202683999
483	0.2024706154
484	0.2023404253
485	0.2021787541
486	0.2020653586
487	0.2018844144
488	0.2017770959
489	0.2015855585
490	0.2014078681
491	0.2012724877
492	0.2011641461
493	0.2009894612
494	0.2008837401
495	0.2004915297
496	0.2003942803
497	0.2002555401
498	0.2001566641
499	0.20007424
500	0.2000051279
501	0.1998692982
502	0.1997420717
503	0.1995850492
504	0.1994787116
505	0.1992465793
506	0.1991635331
507	0.1990582078
508	0.1989521478
509	0.1988313406
510	0.1987106795
511	0.1985500865
512	0.1983683269
513	0.1982198305
514	0.1980634601
515	0.1978712371
516	0.1977864315
517	0.1976500516
518	0.1975395265
519	0.1974228552
520	0.1973252037
521	0.1972265199
522	0.1971340157
523	0.1970272109
524	0.1968882502
525	0.1967295876
526	0.1965962586
527	0.1964742727
528	0.1963385362
529	0.1961903972
530	0.196065061
531	0.1959544135
532	0.1958705484
533	0.1957325439
534	0.1955941045
535	0.1955049843
536	0.1953674926
537	0.1952431734
538	0.1951416861
539	0.1948560776
540	0.1947400397
541	0.1946414533
542	0.1945270624
543	0.1943961903
544	0.1942914131
545	0.1941613219
546	0.193983072
547	0.1938223352
548	0.1936708558
549	0.193516666
550	0.1934324846
551	0.1932855134
552	0.1932247777
553	0.1931208422
554	0.1930018904
555	0.1928793824
556	0.192751029
557	0.1926958296
558	0.1926184184
559	0.1925351348
560	0.192351229
561	0.1922084753
562	0.192047049
563	0.1919077135
564	0.1917532706
565	0.1915701412
566	0.1914153969
567	0.1913114519
568	0.1912164558
569	0.1911380539
570	0.1909658059
571	0.1908777621
572	0.1907240584
573	0.1904543958
574	0.1903255983
575	0.1901519751
576	0.1900727816
577	0.1899380258
578	0.1898343674
579	0.1897484453
580	0.1896634453
581	0.1895807032
582	0.1894610509
583	0.1893445547
584	0.1892651293
585	0.1891395765
586	0.1890703049
587	0.1889508485
588	0.188820459
589	0.1886721899
590	0.1886232945
591	0.1884556893
592	0.1883360821
593	0.1881922129
594	0.1881057077
595	0.1879706018
596	0.1876393188
597	0.1875401418
598	0.18742628
599	0.1873340337
600	0.1872491953
601	0.1871513663
602	0.1870338408
603	0.1869381755
604	0.1868009677
605	0.1866912619
606	0.1865956706
607	0.1864632215
608	0.1863125576
609	0.1861795899
610	0.1860678522
611	0.1859829437
612	0.1858721587
613	0.1857808235
614	0.1856778049
615	0.1854914836
616	0.1853646849
617	0.1852651803
618	0.1851449996
619	0.1850588515
620	0.1849659193
621	0.1847862456
622	0.1847072403
623	0.1845578344
624	0.1844242879
625	0.1843343154
626	0.1842583151
627	0.1841608709
628	0.1840073563
629	0.1838621236
630	0.1837759288
631	0.1837213263
632	0.1836278774
633	0.1835266511
634	0.1834322907
635	0.183362028
636	0.1832581951
637	0.1831850644
638	0.1830837489
639	0.1828948915
640	0.1828083829
641	0.1827011539
642	0.1826102996
643	0.1825519092
644	0.1824425613
645	0.1823585935
646	0.182260469
647	0.1821597524
648	0.1820440008
649	0.1819567966
650	0.1818390652
651	0.1817660246
652	0.1816917674
653	0.1815713702
654	0.1814253028
655	0.1813558261
656	0.1812839799
657	0.1811570704
658	0.1810789344
659	0.1810086208
660	0.180920091
661	0.1807912487
662	0.1806861038
663	0.1806108336
664	0.1804989965
665	0.1802482327
666	0.1801611052
667	0.1800341048
668	0.1799092881
669	0.1798456099
670	0.1797236031
671	0.1796039649
672	0.1794556716
673	0.1793462355
674	0.1792593855
675	0.1790814961
676	0.1790079053
677	0.1789234481
678	0.1788452703
679	0.1787815208
680	0.17870921
681	0.1786025921
682	0.1785161892
683	0.178355846
684	0.1782375206
685	0.1781442755
686	0.178052576
687	0.1779830751
688	0.1778660821
689	0.177758903
690	0.17765497
691	0.1775849752
692	0.1774272672
693	0.177350847
694	0.177284939
695	0.1771880155
696	0.1771163909
697	0.1770501682
698	0.1769864127
699	0.1768574708
700	0.1767567797
701	0.1766502296
702	0.1765696173
703	0.1764459451
704	0.1763386786
705	0.1762589658
706	0.1761296696
707	0.176051912
708	0.1759792636
709	0.175779096
710	0.175716599
711	0.1755511545
712	0.175472717
713	0.1753210935
714	0.1752426923
715	0.1751407517
716	0.1750691428
717	0.1749973014
718	0.1749070664
719	0.1748324895
720	0.1747073523
721	0.1745930522
722	0.1745157587
723	0.1744639563
724	0.1743285315
725	0.1742223106
726	0.1741666561
727	0.1740723476
728	0.1739634376
729	0.1738595095
730	0.1737594626
731	0.1736969777
732	0.1736152332
733	0.1735082525
734	0.1734464198
735	0.1733401155
736	0.1732343921
737	0.173110807
738	0.1730054594
739	0.1729410727
740	0.1728740584
741	0.172789041
742	0.1727226251
743	0.1726339566
744	0.1725769183
745	0.1725032418
746	0.1724151378
747	0.1723114308
748	0.1722593836
749	0.1721858585
750	0.1721180728
751	0.1720507981
752	0.1719606004
753	0.1718961612
754	0.1717759877
755	0.1716934624
756	0.1716220645
757	0.1715508625
758	0.1714226233
759	0.1712975182
760	0.1712222675
761	0.1711458393
762	0.1710342341
763	0.1709705184
764	0.1708620478
765	0.1707401145
766	0.1706775237
767	0.1706170778
768	0.1705331572
769	0.1704043831
770	0.1703093095
771	0.1702202513
772	0.1701607788
773	0.1700730871
774	0.170002453
775	0.1699322111
776	0.1698514688
777	0.1697516575
778	0.1696726775
779	0.1695348195
780	0.1694243911
781	0.1693464032
782	0.1692777859
783	0.1692368534
784	0.1691778477
785	0.1691117792
786	0.1690233328
787	0.1689477183
788	0.1688451909
789	0.168783641
790	0.1687177551
791	0.1686137217
792	0.1685368265
793	0.1684445353
794	0.1683619874
795	0.1682738399
796	0.1681771947
797	0.1680746763
798	0.1679980426
799	0.1679073556
800	0.1678303443
801	0.1677401893
802	0.1676729789
803	0.1676082341
804	0.1675240735
805	0.1674481943
806	0.1673614931
807	0.1673125745
808	0.1671778155
809	0.1671057986
810	0.166988603
811	0.1668895761
812	0.166817722
813	0.1667576446
814	0.1666669972
815	0.1666017198
816	0.1665484168
817	0.166479744
818	0.1662683775
819	0.1662318166
820	0.1661048431
821	0.1660102314
822	0.1659320173
823	0.1658606936
824	0.1657684543
825	0.1657283612
826	0.1656603856
827	0.1655862758
828	0.1655191386
829	0.165454555
830	0.1653556926
831	0.1652986974
832	0.1652052116
833	0.165136968
834	0.1650571828
835	0.1649585124
836	0.1648967644
837	0.1648039346
838	0.1646760092
839	0.1645891245
840	0.1645101021
841	0.1644303247
842	0.1643590875
843	0.164269595
844	0.1641497536
845	0.1640563184
846	0.1639968593
847	0.1639272188
848	0.1638093344
849	0.1637028039
850	0.1636193788
851	0.1635300004
852	0.1634700778
853	0.1633190758
854	0.163234819
855	0.1631798284
856	0.1631235257
857	0.1630509302
858	0.1629975722
859	0.1629318725
860	0.1627867995
861	0.1627214556
862	0.1626579749
863	0.1625741717
864	0.1623627302
865	0.1622818287
866	0.1622027292
867	0.1620741054
868	0.1619676346
869	0.1618526903
870	0.1617785914
871	0.1616988192
872	0.1616262376
873	0.1614856694
874	0.1614081096
875	0.1613164429
876	0.1612199649
877	0.1611372687
878	0.16104265
879	0.1609823256
880	0.1608859109
881	0.1608413476
882	0.1607429081
883	0.1606857747
884	0.1605818911
885	0.1605051051
886	0.1604293288
887	0.1603425427
888	0.1602608421
889	0.1601995441
890	0.1601302209
891	0.1600715606
892	0.160011083
893	0.1599327627
894	0.1598587452
895	0.1598077164
896	0.1596623324
897	0.159619677
898	0.1595699852
899	0.1595251068
900	0.1594607853
901	0.1593324742
902	0.1592557338
903	0.1591511891
904	0.1590979535
905	0.1589973103
906	0.1589068991
907	0.1588240558
908	0.1587481227
909	0.1586708458
910	0.1586080195
911	0.1585427078
912	0.1584315682
913	0.1583646863
914	0.1582657435
915	0.1581999312
916	0.1580146253
917	0.1579268906
918	0.1578531189
919	0.1577918858
920	0.1577025402
921	0.1576240776
922	0.1575116577
923	0.1573914743
924	0.1572909793
925	0.1571579185
926	0.157108921
927	0.1570545544
928	0.1569918864
929	0.1569212452
930	0.1568163132
931	0.1567280974
932	0.1566899338
933	0.156622985
934	0.156575624
935	0.1565140057
936	0.1564359356
937	0.156375924
938	0.1563127105
939	0.156228378
940	0.1561488017
941	0.1560873622
942	0.1559994529
943	0.1559412932
944	0.1558739585
945	0.1558152444
946	0.1557319843
947	0.1556393017
948	0.1555878783
949	0.1555426022
950	0.1554709574
951	0.15540772
952	0.155354496
953	0.1552921247
954	0.1551851146
955	0.1551082483
956	0.1549987215
957	0.1549147926
958	0.1548571627
959	0.1547996188
960	0.1547469137
961	0.1546895626
962	0.1545744604
963	0.1545155685
964	0.1544521035
965	0.1543809362
966	0.1543119605
967	0.1542219056
968	0.1541729226
969	0.1540936897
970	0.1539883615
971	0.1539425394
972	0.1538627995
973	0.1537736884
974	0.1537419667
975	0.1536936401
976	0.1536194815
977	0.1535877726
978	0.1535149981
979	0.1534591187
980	0.1533875785
981	0.1533360144
982	0.15327473
983	0.1531942489
984	0.1531027564
985	0.1529947824
986	0.1529264418
987	0.1528605254
988	0.1527954713
989	0.152744665
990	0.1526537377
991	0.1525725776
992	0.1525031743
993	0.1524523072
994	0.1523808938
995	0.1522593582
996	0.1520892246
997	0.1520084356
998	0.1519258572
999	0.151815905
